freelancer_id,project_id,skills_match,experience_years,project_budget,freelancer_rate,availability,previous_rating,interview_score,training_score,accepted
10313,52898,1.0,7,1091,53,0.55,3.46,69.4,56.6,1
10007,50081,0.564,2,1221,41,0.789,2.29,50.4,37.0,0
10124,51163,1.0,7,4000,64,0.687,3.57,78.4,54.2,1
10867,57856,0.551,2,6467,22,0.853,2.1,46.6,26.2,0
10513,54750,0.326,4,4077,68,0.718,3.66,81.9,72.8,0
10444,54122,0.739,2,5236,34,1.0,2.2,36.7,15.3,0
10212,51966,0.861,0,3052,56,0.434,3.16,69.8,64.1,0
10491,54557,1.0,3,1829,53,0.765,2.18,69.4,70.5,0
10166,51558,0.629,3,6660,25,0.823,1.63,27.7,21.4,0
10500,54635,0.94,2,6183,43,0.972,2.44,41.2,35.8,1
10027,50268,1.0,2,2372,71,0.656,3.47,72.9,68.8,1
10901,58114,0.74,2,4679,43,0.832,2.27,51.5,31.6,0
10685,56194,0.26,3,6159,42,0.951,1.69,37.6,26.4,0
10630,55737,0.985,2,969,51,0.965,1.59,43.6,29.8,0
10739,56667,1.0,5,6754,73,0.544,3.93,80.5,59.9,0
10175,51617,0.944,4,7586,62,0.594,2.82,89.3,84.1,1
10016,50170,0.584,4,8670,45,0.946,2.82,52.0,37.5,0
10819,57396,1.0,1,4347,48,0.61,3.48,59.8,66.7,0
10181,51673,0.611,2,6373,30,0.803,2.23,44.3,27.4,0
10967,58736,0.404,3,7426,43,0.706,3.07,60.5,28.9,0
10036,50361,1.0,3,5611,25,0.634,2.19,53.4,19.3,1
10944,58511,0.771,6,3122,77,0.387,3.52,91.6,95.7,1
10354,53264,0.873,1,3682,62,0.766,3.45,68.1,72.8,0
10497,54603,1.0,7,6109,66,0.574,3.92,87.0,79.5,1
10998,58987,0.352,4,1638,39,0.914,2.56,50.5,49.1,0
10531,54900,1.0,2,7321,79,0.489,4.94,87.3,87.3,1
10175,51615,0.343,6,4581,53,0.704,3.95,84.1,73.9,1
10740,56681,1.0,1,7846,54,0.846,2.78,64.4,48.6,1
10280,52583,0.834,2,3527,41,0.864,2.72,46.2,53.4,0
10405,53762,0.858,3,6969,41,0.954,2.32,47.3,35.9,0
10355,53275,0.284,4,2548,44,0.627,1.97,49.2,37.7,0
10239,52184,0.926,6,3551,70,0.572,3.61,77.3,79.6,0
10774,57013,0.269,2,5485,49,0.651,3.08,56.1,31.4,0
10406,53772,0.657,5,4172,75,0.738,2.75,55.1,53.3,0
10293,52707,0.949,3,2918,35,0.73,1.87,38.8,25.3,0
10966,58729,0.943,1,5743,66,0.586,2.17,63.1,36.9,1
10216,52003,0.716,3,5303,56,0.549,4.19,84.3,63.3,0
10229,52088,0.832,5,4417,45,0.6,2.55,44.8,46.7,1
10780,57064,0.248,3,1228,50,0.915,2.67,56.9,51.3,0
10304,52813,1.0,5,2373,62,0.589,3.67,91.7,78.2,1
10846,57666,0.778,4,7004,81,0.634,3.67,83.1,82.8,1
10888,58002,1.0,5,1505,77,0.491,3.41,64.7,68.3,0
10155,51453,0.985,2,2950,38,0.719,2.4,48.7,41.2,1
10107,51019,0.438,2,6734,25,1.0,2.45,45.9,27.0,1
10031,50319,1.0,2,2232,63,0.637,3.96,85.2,80.5,0
10231,52108,1.0,2,8981,44,0.788,2.17,54.3,42.1,0
10792,57176,0.757,3,4083,54,0.737,3.79,84.7,68.9,0
10515,54768,1.0,7,8147,74,0.538,4.17,92.8,91.2,1
10979,58838,1.0,8,8597,74,0.874,3.64,95.2,83.2,1
10452,54199,1.0,1,8049,49,0.605,3.02,54.7,43.3,1
10947,58546,0.67,4,7026,57,0.531,2.76,55.5,35.6,0
10786,57121,0.421,3,1828,64,0.757,2.8,71.8,63.8,0
10244,52240,1.0,5,4069,72,0.629,3.83,74.8,71.9,0
10317,52940,0.283,4,4133,48,0.672,3.18,59.3,56.1,0
10902,58124,0.54,2,3313,74,0.676,3.28,69.9,55.9,0
10061,50593,0.865,1,5371,17,1.0,1.5,39.3,6.0,1
10981,58864,1.0,2,1932,66,0.65,3.53,72.1,44.6,0
10243,52211,0.939,5,7457,55,0.595,3.49,70.7,80.5,0
10959,58664,0.674,2,8225,25,0.874,1.26,18.6,39.5,1
10342,53140,0.882,6,8117,43,0.761,2.67,65.1,59.0,1
10755,56822,0.622,1,7697,41,0.793,2.64,56.1,47.6,0
10408,53788,0.97,5,3281,73,0.67,3.47,78.3,75.1,0
10808,57330,1.0,2,2459,67,0.608,4.04,84.5,70.3,0
10768,56957,1.0,2,8691,70,0.706,3.82,78.3,60.6,0
10179,51650,0.373,4,5687,42,0.79,3.15,55.1,59.4,1
10273,52524,0.898,3,1168,18,0.696,2.13,54.2,44.6,1
10008,50089,0.241,6,2077,57,0.533,3.8,77.8,77.8,1
10447,54152,0.309,3,4717,68,0.655,2.92,62.4,61.3,0
10662,55982,0.679,4,6892,53,0.645,3.04,54.9,44.9,0
10248,52289,0.433,4,7510,16,0.889,2.77,39.2,42.6,1
10594,55420,0.943,6,6499,56,0.612,3.74,65.1,74.7,1
10411,53804,0.632,4,3355,32,0.781,2.37,59.7,60.5,1
10310,52863,0.53,9,2723,63,0.654,3.68,77.1,81.5,0
10422,53888,0.34,7,2734,65,0.727,3.29,82.9,60.5,0
10620,55663,0.243,3,8719,57,0.751,2.82,77.8,49.1,0
10706,56373,1.0,4,8660,54,0.882,2.68,52.6,45.7,1
10625,55701,0.364,4,6756,40,0.74,2.78,38.4,46.3,0
10379,53530,0.383,3,4734,70,0.624,2.91,76.2,78.7,0
10380,53533,1.0,6,1390,59,0.659,3.05,69.2,53.6,0
10883,57954,0.172,8,3059,43,0.812,1.91,44.7,39.3,0
10279,52578,0.689,5,3881,68,0.579,2.9,78.3,66.4,0
10784,57094,0.632,2,3641,41,0.496,2.86,61.5,57.2,0
10631,55745,0.835,5,8042,53,0.675,3.51,68.8,58.8,0
10243,52216,0.466,2,4454,63,0.639,3.64,70.9,81.2,0
10032,50322,0.462,2,5263,59,0.874,2.14,54.1,46.7,0
10225,52068,0.234,5,7857,20,0.74,2.1,36.4,30.8,1
10575,55289,0.094,2,2384,47,0.793,1.48,25.9,6.6,0
10756,56828,0.973,1,4697,43,1.0,1.96,53.2,54.3,0
10695,56268,1.0,6,6621,63,0.499,3.97,78.9,77.7,1
10506,54685,0.837,8,4116,68,0.64,4.11,78.0,63.6,0
10604,55510,0.954,4,2130,60,0.541,3.75,75.9,80.5,0
10740,56690,0.842,4,1413,48,0.842,3.15,64.0,57.6,0
10472,54406,1.0,5,3270,48,0.799,3.15,75.5,49.0,1
10396,53685,0.411,8,2175,46,0.678,3.08,61.3,55.3,0
10381,53542,0.776,4,3728,35,0.759,2.53,47.5,79.6,1
10110,51047,1.0,3,7503,62,0.811,2.73,61.3,58.9,1
10735,56619,0.884,6,6658,51,0.869,2.5,50.4,42.1,1
10930,58390,0.185,1,5615,42,0.785,2.43,62.6,32.4,0
10009,50096,0.881,8,1339,69,0.663,4.32,80.4,87.8,0
10939,58479,1.0,7,3220,79,0.85,3.59,73.7,68.9,1
10404,53754,1.0,1,4521,61,0.686,2.88,56.2,63.1,0
10816,57381,0.995,5,7604,36,0.696,2.31,45.3,22.2,1
10435,54048,0.642,4,2597,49,0.515,3.55,84.3,74.9,1
10900,58105,1.0,5,7409,78,0.73,3.75,97.4,87.6,1
10696,56281,0.682,3,8268,28,0.709,1.99,47.6,57.3,1
10113,51069,0.564,6,7964,54,0.651,2.91,74.2,74.2,1
10532,54907,0.695,8,8155,46,0.766,2.62,59.0,58.5,0
10672,56064,0.187,3,8193,50,0.768,1.94,48.4,33.4,0
10150,51403,0.301,2,8756,54,0.863,1.88,63.1,52.7,1
10471,54398,0.339,3,6210,65,0.733,3.57,81.3,80.5,0
10957,58647,1.0,4,7665,49,0.624,3.77,84.2,64.3,1
10411,53807,0.822,1,8375,29,0.724,2.54,51.6,54.5,1
10192,51766,1.0,2,4058,61,0.702,3.18,69.1,62.6,0
10140,51315,0.553,2,1172,74,0.658,3.18,78.9,65.1,1
10631,55747,1.0,2,6341,62,0.571,3.37,71.1,60.7,0
10395,53663,0.237,3,6264,48,0.848,2.18,46.5,56.9,0
10862,57814,0.374,5,4914,87,0.619,4.4,88.6,91.7,0
10142,51331,0.985,4,7661,40,0.643,2.54,46.8,52.7,1
10542,55000,0.469,3,7882,67,0.766,3.75,75.0,97.3,1
10998,58997,0.728,2,2873,44,0.868,2.03,43.1,35.9,0
10933,58411,0.181,4,2749,35,0.67,2.49,51.2,65.5,0
10730,56588,0.185,2,5844,65,0.667,2.2,66.0,70.4,1
10235,52132,0.799,1,4737,27,1.0,1.77,44.1,52.6,1
10065,50621,0.683,1,4330,56,0.854,2.88,75.7,51.3,0
10326,53012,0.564,9,2523,78,0.511,4.5,100.0,100.0,1
10081,50764,0.377,8,3843,57,0.733,3.53,66.5,67.3,0
10829,57509,0.639,2,5765,63,0.779,4.06,64.9,68.6,0
10983,58874,1.0,2,4009,52,0.641,3.04,67.4,55.5,1
10954,58611,0.954,7,4458,58,0.786,2.66,72.1,80.9,1
10550,55066,1.0,6,3057,75,0.73,3.61,80.3,70.0,0
10506,54687,0.99,3,5484,67,0.664,4.12,80.8,74.0,0
10158,51484,0.9,3,4867,59,0.716,3.38,64.4,62.6,1
10344,53162,0.874,4,4856,52,0.918,2.96,70.7,46.7,0
10841,57621,1.0,2,7862,29,0.697,2.61,52.8,36.5,1
10357,53296,0.319,4,5988,63,0.616,3.57,75.0,93.6,0
10856,57750,0.722,4,7905,75,0.497,4.08,82.7,81.5,1
10603,55503,1.0,3,4723,69,0.613,3.02,62.7,58.6,0
10958,58657,1.0,1,5239,75,0.668,3.46,90.8,68.4,1
10365,53376,0.653,5,3297,66,0.747,2.91,60.9,59.2,0
10903,58135,0.846,6,8748,65,0.638,3.87,91.0,88.3,1
10991,58934,0.277,6,4654,37,0.756,2.85,52.4,68.3,0
10552,55101,1.0,6,3819,61,0.677,3.89,89.1,63.5,1
10874,57901,1.0,5,3916,50,0.69,2.71,53.9,64.1,1
10109,51035,0.495,4,1493,57,0.705,2.15,48.8,46.2,1
10766,56940,0.178,4,4885,46,0.603,3.33,68.1,55.9,0
10254,52355,0.233,4,1808,68,0.664,3.25,76.4,59.0,0
10486,54526,0.589,1,1565,51,0.725,2.53,48.8,61.6,0
10081,50765,0.259,6,7958,58,0.827,3.36,80.2,70.3,0
10521,54817,1.0,6,2269,62,0.637,2.57,48.5,65.2,0
10433,54004,0.933,3,1144,73,0.632,4.43,93.9,65.8,1
10580,55326,0.169,2,8538,39,0.945,1.77,51.3,45.2,0
10163,51531,0.835,1,8209,79,0.539,3.65,84.9,93.9,1
10340,53128,0.442,3,2116,37,0.739,2.4,58.1,33.8,0
10513,54748,0.502,4,1129,54,0.672,3.6,76.2,81.6,0
10388,53606,0.23,2,8087,59,0.762,2.49,50.7,39.6,0
10366,53400,1.0,4,5161,45,0.607,3.17,52.5,63.7,1
10141,51323,0.383,1,4783,47,0.753,3.35,47.3,45.9,0
10671,56056,0.779,2,5407,48,0.502,2.65,64.2,56.8,0
10071,50677,0.287,1,6125,42,0.627,2.0,51.5,46.6,0
10236,52133,0.494,3,5426,67,0.678,2.76,60.0,37.9,0
10328,53032,0.292,4,5132,39,0.788,2.33,68.6,42.3,0
10717,56479,1.0,3,946,62,0.732,3.7,64.2,74.8,1
10247,52273,0.484,3,7641,66,0.761,4.29,96.1,65.7,0
10630,55740,1.0,0,4379,19,0.775,1.79,35.7,35.5,1
10296,52727,0.329,2,6159,75,0.482,4.0,74.8,66.1,0
10397,53693,0.676,2,960,48,0.894,1.69,25.6,29.5,0
10616,55613,0.316,0,8268,56,0.823,3.46,59.2,60.6,0
10188,51740,1.0,6,2678,39,0.848,1.65,27.6,34.0,0
10046,50448,0.25,5,2414,66,0.49,4.05,67.1,72.4,1
10065,50624,1.0,0,5546,60,0.855,2.69,68.9,57.0,1
10435,54056,1.0,4,8622,37,0.606,3.9,71.3,73.3,0
10922,58317,0.66,7,7212,65,0.518,3.09,78.8,64.8,0
10398,53705,0.643,3,5750,23,1.0,1.74,40.0,23.4,1
10867,57848,0.399,8,6749,30,0.858,2.09,57.7,37.6,1
10712,56428,0.51,8,6694,48,0.763,3.26,69.2,66.1,0
10686,56204,0.286,0,7319,54,0.796,2.83,74.0,54.9,0
10057,50555,1.0,4,5486,52,0.692,3.75,71.6,62.4,0
10488,54540,0.346,5,5253,56,0.663,3.09,70.8,64.4,0
10366,53396,1.0,3,6327,43,0.637,3.41,71.1,82.5,1
10915,58247,0.204,4,2830,34,0.789,3.15,66.9,53.1,0
10955,58621,0.713,1,7998,52,0.88,2.91,44.3,41.8,1
10298,52752,0.297,1,4359,50,0.664,2.77,61.4,47.8,0
10175,51618,0.584,3,1305,66,0.611,3.9,77.2,78.2,1
10831,57526,0.625,0,3426,59,0.6,3.99,83.5,70.3,1
10828,57493,0.08,1,4530,30,0.793,1.69,25.2,17.6,0
10074,50701,0.828,6,1892,63,0.686,3.84,80.5,69.1,1
10737,56648,1.0,2,4441,56,0.502,3.95,80.2,61.5,0
10076,50734,1.0,2,8992,39,0.656,3.27,62.7,62.3,1
10422,53886,0.344,4,2461,57,0.795,2.74,83.7,89.2,0
10970,58771,0.622,4,8295,72,0.63,4.15,79.3,69.7,1
10953,58605,0.942,2,4569,76,0.624,3.56,81.0,82.6,0
10865,57840,0.299,2,4493,56,0.656,3.52,62.8,52.4,0
10140,51316,0.769,4,7276,65,0.775,2.85,57.5,61.7,0
10572,55256,0.691,6,5960,56,0.738,2.65,99.7,63.4,0
10509,54721,0.295,10,5593,59,0.741,4.24,85.8,73.6,0
10489,54551,1.0,7,3698,62,0.569,3.15,64.7,52.8,0
10458,54270,0.617,0,4788,35,0.758,2.43,33.4,26.1,0
10729,56579,0.285,2,1812,37,0.726,2.62,55.1,61.1,0
10595,55426,1.0,3,4043,68,0.492,4.01,93.4,83.9,0
10024,50240,0.94,6,6735,56,0.724,3.57,68.9,65.3,1
10936,58435,0.819,2,2150,56,0.61,3.47,78.6,86.0,1
10453,54221,1.0,5,2297,54,0.741,1.77,60.3,45.3,0
10957,58646,0.47,5,4692,52,0.658,3.65,80.3,54.0,1
10503,54664,0.277,4,3736,49,0.682,2.46,56.2,62.1,1
10022,50223,0.299,8,8964,49,0.62,3.77,82.1,66.8,1
10011,50108,0.506,1,7319,52,0.77,3.07,56.6,65.8,1
10406,53768,0.355,5,2963,42,0.808,2.71,52.6,66.4,0
10658,55953,0.261,3,2191,60,0.872,2.34,49.8,48.5,0
10632,55754,0.345,2,1326,28,0.822,1.73,36.3,20.6,0
10119,51127,0.223,5,4596,45,0.861,2.8,52.1,55.5,0
10911,58213,0.927,5,1722,58,0.599,2.48,54.7,44.9,0
10609,55555,1.0,2,8467,52,0.798,2.75,59.9,56.5,0
10013,50132,0.282,5,4199,35,0.886,3.08,54.0,62.9,0
10670,56050,0.475,4,8890,74,0.693,3.61,99.1,91.8,0
10603,55488,0.454,5,8832,63,0.595,3.54,75.0,60.3,0
10964,58696,0.645,3,8966,54,0.632,3.16,84.5,78.0,0
10247,52277,0.395,9,2810,61,0.623,4.36,85.0,88.3,1
10888,57999,1.0,5,4312,72,0.482,3.53,75.6,65.9,0
10212,51955,0.232,3,5221,44,0.456,2.83,64.1,45.8,0
10467,54356,0.328,3,6945,53,0.88,3.05,68.1,64.9,1
10336,53096,0.958,1,4685,36,0.94,1.91,24.5,28.0,0
10502,54650,0.379,8,8045,68,0.634,4.17,66.5,79.9,0
10068,50654,0.657,5,1149,35,0.765,2.13,41.2,26.8,0
10393,53640,1.0,8,5087,62,0.835,3.98,74.4,58.0,0
10257,52374,0.299,1,4787,31,0.839,1.55,47.9,36.2,0
10418,53845,0.929,2,5623,55,0.821,2.52,66.0,68.8,1
10274,52532,0.505,6,6058,47,0.837,2.37,52.1,48.5,1
10730,56593,0.718,3,4997,45,0.692,2.81,46.1,71.3,0
10464,54318,0.435,3,1937,65,0.435,3.58,77.4,53.8,0
10250,52313,0.57,2,2414,47,0.734,2.81,73.7,67.8,1
10052,50512,0.425,3,2701,50,0.674,3.81,74.6,69.8,0
10454,54225,0.38,2,6251,33,0.908,2.58,59.5,50.9,1
10531,54899,0.841,4,7275,69,0.452,4.02,91.2,61.4,1
10995,58970,0.251,4,6858,41,0.612,3.39,64.2,41.3,0
10324,52983,0.662,3,1396,80,0.49,3.39,69.9,83.1,0
10188,51742,0.485,1,2845,30,0.823,2.42,40.1,45.8,0
10794,57195,1.0,1,3672,88,0.709,3.99,73.5,72.7,1
10970,58753,1.0,4,3083,72,0.555,3.89,77.8,77.6,0
10597,55445,1.0,0,6122,80,0.683,3.86,83.6,65.1,1
10760,56863,0.322,6,8351,72,0.706,3.1,80.7,73.2,0
10465,54333,0.686,5,7283,80,0.572,3.16,72.7,57.1,0
10234,52125,0.933,5,3597,66,0.645,3.07,70.4,65.9,0
10994,58962,0.376,5,7852,64,0.596,3.4,61.6,63.2,0
10445,54135,0.899,3,5666,33,1.0,2.36,42.6,36.2,0
10781,57071,0.927,4,5667,51,0.815,2.57,60.0,36.4,0
10477,54464,1.0,4,4809,48,0.858,2.34,69.8,42.6,1
10522,54825,0.989,5,1032,82,0.663,3.88,78.3,91.8,1
10235,52128,0.758,1,2511,35,0.98,1.79,47.5,29.7,0
10523,54835,0.101,0,8146,38,0.789,1.93,69.6,50.7,1
10053,50519,0.833,4,8315,47,0.611,3.71,75.3,57.4,1
10467,54351,0.313,5,4450,66,0.824,3.36,86.7,68.7,0
10426,53950,0.841,0,7120,51,0.759,3.11,47.5,55.9,1
10136,51264,0.892,1,2198,18,0.892,2.44,34.3,34.2,0
10547,55043,0.403,3,8074,26,0.666,2.97,58.9,53.3,0
10617,55616,0.53,2,5988,62,0.426,3.13,70.6,72.9,0
10320,52961,0.545,4,1370,79,0.612,4.11,92.8,81.3,0
10453,54217,0.465,2,3189,51,0.822,3.02,57.7,45.7,0
10783,57085,0.358,2,6565,31,0.798,2.23,54.1,50.6,1
10120,51128,0.269,4,2564,62,0.877,3.66,76.9,62.5,0
10209,51929,1.0,8,5468,43,0.664,3.46,72.7,76.1,0
10207,51916,0.725,7,3545,48,0.791,3.42,62.7,69.0,0
10563,55185,0.697,2,5736,56,0.73,2.65,61.5,49.9,0
10365,53383,0.266,3,4696,70,0.644,2.89,62.0,73.1,0
10707,56379,0.732,2,1905,25,0.797,2.16,52.8,25.0,0
10379,53525,0.465,5,2775,74,0.642,3.19,76.0,78.3,1
10337,53107,1.0,1,8260,42,0.794,2.41,54.0,52.8,0
10740,56693,0.664,1,5794,50,0.78,2.34,54.9,47.9,0
10687,56210,0.697,2,2265,33,0.677,1.85,28.1,43.5,0
10332,53054,0.766,2,8209,19,0.886,2.46,42.0,32.0,1
10192,51769,0.423,0,3686,62,0.67,3.44,68.8,63.9,0
10572,55255,0.264,8,3982,44,0.607,2.38,96.2,58.5,0
10988,58904,0.382,4,5384,65,0.706,3.3,65.3,62.1,0
10828,57492,0.917,2,3514,21,0.882,1.88,31.3,21.5,1
10559,55152,1.0,4,5866,81,0.592,4.08,93.5,88.5,0
10954,58616,0.725,4,3642,39,0.711,2.74,63.1,61.7,0
10187,51729,1.0,4,8350,74,0.486,3.79,91.3,89.5,0
10384,53574,0.243,0,7236,50,0.829,2.34,54.5,43.0,0
10319,52955,0.755,2,2844,33,0.91,2.25,57.2,23.9,0
10325,53008,1.0,4,5560,69,0.547,3.64,93.4,86.5,1
10172,51594,0.97,4,2416,53,0.734,2.88,52.7,54.5,1
10279,52580,0.5,2,6574,68,0.531,2.79,78.5,74.9,1
10736,56629,1.0,4,5155,44,0.67,2.95,87.4,56.6,1
10069,50669,0.47,3,2544,88,0.609,3.91,78.8,93.1,0
10869,57866,0.185,2,4833,47,0.847,1.54,57.6,37.6,0
10435,54049,1.0,2,4913,50,0.52,3.7,70.9,93.9,1
10456,54249,1.0,4,7325,60,0.739,3.2,70.4,73.3,0
10906,58164,1.0,3,7577,34,0.912,2.15,64.1,67.1,1
10299,52767,0.665,3,7264,78,0.647,3.58,85.8,90.3,1
10365,53379,0.623,3,984,61,0.625,2.95,70.5,63.5,1
10619,55643,0.76,2,5930,58,0.977,3.43,50.6,47.9,1
10771,56991,1.0,2,4034,75,0.868,3.6,69.2,56.4,1
10784,57089,1.0,7,1349,48,0.519,3.38,62.3,47.7,0
10586,55369,0.271,0,3983,30,0.927,1.65,35.9,44.4,0
10951,58586,1.0,2,4107,36,0.721,3.07,51.8,57.4,0
10676,56110,1.0,7,4657,46,0.619,3.37,57.6,47.6,0
10340,53126,0.486,2,8443,38,0.843,2.64,67.9,36.1,1
10074,50709,0.399,5,6541,50,0.624,3.93,72.6,64.8,0
10842,57631,1.0,4,7470,48,0.649,3.69,75.9,64.7,1
10168,51571,1.0,4,1641,60,0.634,3.39,71.7,75.8,0
10682,56175,0.322,1,2265,81,0.567,4.27,74.5,82.2,0
10819,57407,0.486,2,7792,60,0.702,2.88,56.6,59.4,1
10065,50625,0.962,3,7342,57,0.823,2.68,71.5,54.0,1
10791,57175,0.421,3,4491,68,0.783,2.46,66.1,66.3,0
10685,56200,0.378,5,7988,44,0.884,1.56,48.9,21.4,0
10992,58942,0.694,1,3037,46,1.0,2.25,42.8,39.0,1
10032,50331,1.0,3,3228,37,0.832,2.34,55.8,51.7,1
10679,56124,0.851,6,3172,65,0.51,3.95,71.2,100.0,0
10710,56398,0.911,0,3293,26,0.717,2.07,30.9,15.1,1
10829,57498,0.404,6,7143,73,0.695,3.39,59.1,63.1,0
10544,55014,0.692,5,2805,57,0.717,3.24,67.0,90.7,0
10875,57906,0.388,4,8329,28,0.845,1.55,64.5,29.7,0
10363,53353,0.726,3,3056,40,0.67,3.06,60.7,38.6,0
10749,56775,0.365,0,1954,37,0.62,2.85,55.9,30.8,0
10690,56225,0.237,2,2813,52,0.886,2.81,72.3,47.9,0
10468,54369,0.999,4,1262,47,0.717,3.4,58.5,38.5,0
10058,50568,0.381,2,7295,51,0.657,3.01,79.6,85.8,0
10898,58082,0.898,4,6765,59,0.692,2.08,55.5,33.7,0
10011,50107,1.0,2,8177,53,0.921,3.22,63.8,73.1,1
10884,57963,0.868,3,8793,51,0.623,3.42,96.1,85.3,1
10991,58929,0.946,1,1124,46,0.768,2.98,54.1,54.5,1
10913,58228,1.0,2,7329,71,0.574,2.98,57.7,62.9,1
10327,53020,0.849,5,7284,60,0.562,3.96,78.7,76.0,0
10001,50015,0.862,0,8799,53,0.65,3.3,52.9,61.7,0
10524,54839,0.285,2,5274,68,0.649,3.5,63.5,52.6,0
10701,56333,0.325,6,8818,69,0.76,3.46,60.8,74.4,1
10029,50287,0.997,3,2285,56,0.449,3.59,93.8,84.1,0
10898,58080,0.235,2,7038,38,0.653,2.3,57.6,51.2,1
10340,53127,1.0,5,4225,33,0.982,2.49,52.5,23.7,1
10544,55010,0.86,7,1713,72,0.724,3.02,71.1,67.5,0
10314,52907,0.472,1,4104,62,0.758,2.44,60.9,46.3,1
10433,54011,0.749,4,5529,69,0.64,4.27,78.3,71.1,1
10536,54951,0.31,2,4051,54,0.883,2.57,79.5,50.9,1
10658,55957,0.009,0,1125,28,0.864,2.4,43.5,42.9,0
10420,53863,0.499,5,8056,38,0.908,2.85,65.0,48.5,1
10755,56823,0.573,3,8912,34,0.792,2.19,57.2,45.8,1
10177,51627,1.0,9,8183,56,0.612,3.31,88.5,89.2,1
10904,58144,1.0,3,6143,81,0.481,4.04,81.7,81.2,1
10621,55670,0.978,1,4015,45,0.764,2.79,57.4,43.5,1
10864,57835,0.801,5,6681,56,0.776,1.88,29.6,38.5,0
10783,57083,0.248,2,2945,36,0.798,1.97,46.7,34.9,0
10500,54632,0.776,5,2406,60,0.915,2.24,41.7,38.2,0
10537,54957,0.474,2,8828,52,0.731,3.62,63.5,58.0,0
10578,55301,1.0,5,1084,47,0.937,2.72,56.9,54.1,0
10636,55786,0.866,4,1991,40,0.76,3.19,50.3,71.8,0
10603,55492,1.0,3,5934,62,0.744,3.21,75.9,63.0,0
10157,51473,0.344,4,7524,45,0.794,2.77,47.4,29.7,1
10248,52288,0.513,5,4628,31,0.85,2.26,42.1,42.8,1
10530,54881,1.0,2,2526,72,0.725,3.38,72.5,55.8,1
10307,52841,0.387,2,3714,31,0.899,1.69,43.7,39.5,0
